keyword,min,1st quartile,meidan,3rd quartile,max
l-moment,0.133433291029,0.133781763537,0.134130236044,0.134478708551,0.134827181059
fréchet mean,0.1123160515,0.1123160515,0.1123160515,0.1123160515,0.1123160515
friedman test,0.079831023307,0.079831023307,0.079831023307,0.079831023307,0.079831023307
mean deviation,0.00726576364662,0.0349402974189,0.0626148311912,0.0902893649635,0.117963898736
tweedie distribution,0.0528991070856,0.0528991070856,0.0528991070856,0.0528991070856,0.0528991070856
kumaraswamy distribution,0.0509000129225,0.0509000129225,0.0509000129225,0.0509000129225,0.0509000129225
principal stratification,0.0509000129225,0.0509000129225,0.0509000129225,0.0509000129225,0.0509000129225
restricted randomization,0.050703487776,0.050703487776,0.050703487776,0.050703487776,0.050703487776
quadratic classifier,0.0505084743615,0.0505084743615,0.0505084743615,0.0505084743615,0.0505084743615
bingham distribution,0.0272166593818,0.0372810124476,0.0473453655135,0.048261018534,0.0491766715545
comonotonicity,0.0471533333357,0.0471533333357,0.0471533333357,0.0471533333357,0.0471533333357
trispectrum,0.0448900270639,0.0448900270639,0.0448900270639,0.0448900270639,0.0448900270639
zeta distribution,0.0444468876062,0.0444468876062,0.0444468876062,0.0444468876062,0.0444468876062
polykay,0.0444468876062,0.0444468876062,0.0444468876062,0.0444468876062,0.0444468876062
datadvance,0.0441851787489,0.0441851787489,0.0441851787489,0.0441851787489,0.0441851787489
cluster sampling,0.0440124116766,0.0440124116766,0.0440124116766,0.0440124116766,0.0440124116766
gibbs state,0.0438409904042,0.0438409904042,0.0438409904042,0.0438409904042,0.0438409904042
inverse transform sampling,0.0137304663109,0.0286621869651,0.0435939076193,0.0585256282736,0.0734573489278
wrapped cauchy distribution,0.0435441945311,0.0435441945311,0.0435441945311,0.0435441945311,0.0435441945311
cook's distance,0.0395995577354,0.0395995577354,0.0395995577354,0.0395995577354,0.0395995577354
lorenz curve,0.00695946184583,0.0230733465925,0.0391872313391,0.0553011160858,0.0714150008325
inductive inference,0.0135083750385,0.0261915778462,0.0388747806539,0.0515579834615,0.0642411862692
least-angle regression,0.0368209822907,0.0368209822907,0.0368209822907,0.0368209822907,0.0368209822907
margin of error,0.0366054448334,0.0366054448334,0.0366054448334,0.0366054448334,0.0366054448334
bayes error rate,0.0360774816868,0.0360774816868,0.0360774816868,0.0360774816868,0.0360774816868
matrix gamma distribution,0.0359737113656,0.0359737113656,0.0359737113656,0.0359737113656,0.0359737113656
bispectrum,0.0283096753051,0.0317748075918,0.0352399398785,0.0387050721652,0.042170204452
random search,0.0140012841869,0.024433546227,0.0348658082671,0.0452980703072,0.0557303323474
scoring rule,0.00477565132356,0.0122038856755,0.0334613969404,0.0621338882864,0.191074829326
geometric median,0.00599766282976,0.0318048853137,0.0318365005079,0.0365680527242,0.0630462982499
systematic sampling,0.0296020362558,0.0296020362558,0.0296020362558,0.0296020362558,0.0296020362558
transect,0.0295728716881,0.0295728716881,0.0295728716881,0.0295728716881,0.0295728716881
dataplot,0.0202625625578,0.0247896936518,0.0293168247458,0.0338439558398,0.0383710869338
data fusion,0.0292558136096,0.0292558136096,0.0292558136096,0.0292558136096,0.0292558136096
z-score,0.0289454819319,0.0289454819319,0.0289454819319,0.0289454819319,0.0289454819319
inverse-wishart distribution,0.0287514030301,0.0287514030301,0.0287514030301,0.0287514030301,0.0287514030301
disorder problem,0.0285056645427,0.0285056645427,0.0285056645427,0.0285056645427,0.0285056645427
thompson sampling,0.0281844739563,0.0281844739563,0.0281844739563,0.0281844739563,0.0281844739563
proportional hazards models,0.0278187810597,0.0278187810597,0.0278187810597,0.0278187810597,0.0278187810597
preferential attachment,0.0052189728092,0.00531885745627,0.0276527663771,0.0349572707031,0.060296120769
total least squares,0.0275380410674,0.0275380410674,0.0275380410674,0.0275380410674,0.0275380410674
gompertz distribution,0.0272381712917,0.0272381712917,0.0272381712917,0.0272381712917,0.0272381712917
v-statistic,0.00624859542229,0.0164010404213,0.0265534854203,0.0349283244867,0.0433031635532
epidemic model,0.00644601316926,0.0157687213274,0.0250048406757,0.0440364514245,0.0827456337843
gini coefficient,0.0139737226038,0.0194071670569,0.02484061151,0.0302740559631,0.0357075004162
hurst exponent,0.00614142272501,0.00615322180806,0.0248275345046,0.0373498769807,0.0378277789499
quartile,0.00667742059833,0.015544747952,0.0244120753057,0.036309568023,0.0482070607402
fastica,0.00626814981825,0.0159999559382,0.0225901060081,0.0273702999744,0.0316722377836
selective recruitment,0.0223115446705,0.0223115446705,0.0223115446705,0.0223115446705,0.0223115446705
fisher consistency,0.0221142913286,0.0221142913286,0.0221142913286,0.0221142913286,0.0221142913286
f-divergence,0.00611115534228,0.0159047115152,0.0220497531689,0.0250689115795,0.0254848180231
tsallis distribution,0.0220062058383,0.0220062058383,0.0220062058383,0.0220062058383,0.0220062058383
knightian uncertainty,0.0219632669001,0.0219632669001,0.0219632669001,0.0219632669001,0.0219632669001
clustering high-dimensional data,0.021709111449,0.021709111449,0.021709111449,0.021709111449,0.021709111449
central composite design,0.0216049410485,0.0216049410485,0.0216049410485,0.0216049410485,0.0216049410485
continuity correction,0.0216049410485,0.0216049410485,0.0216049410485,0.0216049410485,0.0216049410485
bookmaker,0.0215223217711,0.0215223217711,0.0215223217711,0.0215223217711,0.0215223217711
censored regression model,0.0214812486379,0.0214812486379,0.0214812486379,0.0214812486379,0.0214812486379
cir process,0.0145762855909,0.0179605816018,0.0213448776127,0.0247291736237,0.0281134696346
mixed data sampling,0.0213185119058,0.0213185119058,0.0213185119058,0.0213185119058,0.0213185119058
copula,0.00324601468899,0.00658023356812,0.0213091522047,0.0622790084659,0.171990618061
